"NRAREA","NRCOORDINATES","LATITUDE","LONGITUDE","ELEVATION"
4,1,-16.89472397864652,-55.70101499034053,"145"
4,2,-16.91544069960135,-55.69083781135536,"144"
4,3,-16.91598712555625,-55.68711889758733,"144"
4,4,-16.91523801131084,-55.68243207960381,"146"
4,5,-16.91435778517345,-55.67952081209619,"145"
4,6,-16.91322983329321,-55.67829453310166,"148"
4,7,-16.91269029991324,-55.67751198398959,"148"
4,8,-16.91176189376817,-55.67624808991618,"147"
4,9,-16.90973398927269,-55.6746231552015,"147"
4,10,-16.9073124506972,-55.67448939836068,"150"
4,11,-16.89331691753426,-55.67677281431936,"146"
5,12,-16.89472397864652,-55.70101499034053,"145"
5,13,-16.91544069960135,-55.69083781135536,"144"
5,14,-16.91598712555625,-55.68711889758733,"144"
5,15,-16.91523801131084,-55.68243207960381,"146"
5,16,-16.91435778517345,-55.67952081209619,"145"
5,17,-16.91322983329321,-55.67829453310166,"148"
5,18,-16.91269029991324,-55.67751198398959,"148"
5,19,-16.91176189376817,-55.67624808991618,"147"
5,20,-16.90973398927269,-55.6746231552015,"147"
5,21,-16.9073124506972,-55.67448939836068,"150"
5,22,-16.89331691753426,-55.67677281431936,"146"
6,23,-16.89472397864652,-55.70101499034053,"145"
6,24,-16.91544069960135,-55.69083781135536,"144"
6,25,-16.91598712555625,-55.68711889758733,"144"
6,26,-16.91523801131084,-55.68243207960381,"146"
6,27,-16.91435778517345,-55.67952081209619,"145"
6,28,-16.91322983329321,-55.67829453310166,"148"
6,29,-16.91269029991324,-55.67751198398959,"148"
6,30,-16.91176189376817,-55.67624808991618,"147"
6,31,-16.90973398927269,-55.6746231552015,"147"
6,32,-16.9073124506972,-55.67448939836068,"150"
6,33,-16.89331691753426,-55.67677281431936,"146"
7,34,-16.89472397864652,-55.70101499034053,"145"
7,35,-16.91544069960135,-55.69083781135536,"144"
7,36,-16.91598712555625,-55.68711889758733,"144"
7,37,-16.91523801131084,-55.68243207960381,"146"
7,38,-16.91435778517345,-55.67952081209619,"145"
7,39,-16.91322983329321,-55.67829453310166,"148"
7,40,-16.91269029991324,-55.67751198398959,"148"
7,41,-16.91176189376817,-55.67624808991618,"147"
7,42,-16.90973398927269,-55.6746231552015,"147"
7,43,-16.9073124506972,-55.67448939836068,"150"
7,44,-16.89331691753426,-55.67677281431936,"146"
8,45,-16.88564309999979,-55.52006081273624,"153"
8,46,-16.88347718253644,-55.51760894219638,"153"
8,47,-16.88264884716466,-55.51764551648234,"154"
8,48,-16.87933967914465,-55.50352461723827,"153"
8,49,-16.88181703145399,-55.50015727578038,"154"
8,50,-16.85617889521754,-55.50530030118665,"155"
8,51,-16.8578797244716,-55.51719623267962,"157"
8,52,-16.86230548607193,-55.51750832164059,"154"
8,53,-16.86529481703442,-55.5160051022123,"153"
8,54,-16.86659769354633,-55.51828109983239,"154"
8,55,-16.86840516607141,-55.51785545358944,"155"
8,56,-16.87146462665817,-55.51938852630108,"153"
8,57,-16.87144948794993,-55.52124180643078,"153"
8,58,-16.87329153499706,-55.52168141416891,"154"
8,59,-16.88032043660839,-55.52132074999498,"152"
