"DISTRITO","MUNICIPIO","MICROREGIAO","MESOREGIAO","UF","CATEGORIA","LOCALIDADE","LON","LAT","ALT","TIPO"
SANTA LUZIA,SANTA LUZIA,PINDARÉ,OESTE MARANHENSE,MARANHÃO,POVOADO,CENTRO DO CELESTINO,-45.8485373432019,-3.88580958007442,"46.864178",RURAL
SANTA LUZIA,SANTA LUZIA,PINDARÉ,OESTE MARANHENSE,MARANHÃO,POVOADO,SANTA TEREZA,-45.6306043915295,-3.77790498187673,"26.427338",RURAL
SANTA LUZIA,SANTA LUZIA,PINDARÉ,OESTE MARANHENSE,MARANHÃO,POVOADO,MARIA FERREIRA,-45.7580677949395,-3.92322138319093,"36.517919",RURAL
SANTA LUZIA,SANTA LUZIA,PINDARÉ,OESTE MARANHENSE,MARANHÃO,POVOADO,ROÇA GRANDE,-45.7012838905508,-3.94226768450556,"39.651659",RURAL
SANTA LUZIA,SANTA LUZIA,PINDARÉ,OESTE MARANHENSE,MARANHÃO,POVOADO,MAGUARI,-45.6208651988216,-3.92918373394172,"49.230106",RURAL
SANTA LUZIA,SANTA LUZIA,PINDARÉ,OESTE MARANHENSE,MARANHÃO,PROJETO DE ASSENTAME,AGROVILA DO PA VILA DO INCRA,-46.210819507858,-4.69844712770295,"369.969637",RURAL
SANTA LUZIA,SANTA LUZIA,PINDARÉ,OESTE MARANHENSE,MARANHÃO,PROJETO DE ASSENTAME,AGROVILA DO PA VILA BOA ESPERANÇA,-46.2392715584056,-4.30160919480767,"282.04243",RURAL
SANTA LUZIA,SANTA LUZIA,PINDARÉ,OESTE MARANHENSE,MARANHÃO,PROJETO DE ASSENTAME,AGROVILA DO PA VILA SÃO JORGE,-45.9678432066284,-4.08563160991998,"102.962769",RURAL
SANTA LUZIA,SANTA LUZIA,PINDARÉ,OESTE MARANHENSE,MARANHÃO,POVOADO,CENTRO DOS BRANCOS,-45.60873410639,-3.87391946975064,"48.868705",RURAL
SANTA LUZIA,SANTA LUZIA,PINDARÉ,OESTE MARANHENSE,MARANHÃO,POVOADO,SÃO DOMINGOS,-45.7307057923784,-4.23501665398132,"86.819527",RURAL
SANTA LUZIA,SANTA LUZIA,PINDARÉ,OESTE MARANHENSE,MARANHÃO,POVOADO,PALESTINA,-45.6461560202498,-4.20077844965729,"79.615989",RURAL
SANTA LUZIA DO PARUÁ,SANTA LUZIA DO PARUÁ,PINDARÉ,OESTE MARANHENSE,MARANHÃO,CIDADE,SANTA LUZIA DO PARUÁ,-45.7764615615901,-2.54616147481491,"44.99977",URBANO
SANTA LUZIA DO PARUÁ,SANTA LUZIA DO PARUÁ,PINDARÉ,OESTE MARANHENSE,MARANHÃO,POVOADO,TRÊS IRMÃOS,-45.793353021767,-2.47747102737334,"31.055542",RURAL
SANTA LUZIA DO PARUÁ,SANTA LUZIA DO PARUÁ,PINDARÉ,OESTE MARANHENSE,MARANHÃO,POVOADO,VENCESLAU OU LELAU,-45.8550773467458,-2.57516737796814,"34.981234",RURAL
SANTA LUZIA DO PARUÁ,SANTA LUZIA DO PARUÁ,PINDARÉ,OESTE MARANHENSE,MARANHÃO,POVOADO,BENEDITO MENDES,-45.8759299622083,-2.53081821876815,"45.881727",RURAL
SANTA LUZIA DO PARUÁ,SANTA LUZIA DO PARUÁ,PINDARÉ,OESTE MARANHENSE,MARANHÃO,POVOADO,CENTRO DO CIZINO,-45.8207199046564,-2.52559419337859,"36.272458",RURAL
SANTA LUZIA DO PARUÁ,SANTA LUZIA DO PARUÁ,PINDARÉ,OESTE MARANHENSE,MARANHÃO,POVOADO,ABAIXADINHO,-45.6640976614305,-2.38142140255927,"17.74244",RURAL
SANTA QUITÉRIA DO MARANHÃO,SANTA QUITÉRIA DO MARANHÃO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,CIDADE,SANTA QUITÉRIA DO MARANHÃO,-42.5628730097352,-3.49848499511509,"30.366193",URBANO
